date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",112.25359191894532,0.11580921178350247,33.1025233585354
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",112.25359191894532,0.3741528380697772,9.65631814209877
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",112.25359191894532,0.6414048652624752,-1.1400118725549664
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",112.25359191894532,0.6592216670753218,-1.6770913563172556
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",112.25359191894532,1.1580921178350247,-12.93817850134551
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",112.25359191894532,2.859596690961869,-31.038311954834175
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",112.25359191894532,2.8863218936811386,-31.218859808080445
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",112.25359191894532,3.296108335376609,-33.85484960499926
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",112.25359191894532,4.302757637802438,-39.193322565285314
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",112.25359191894532,4.668002074965792,-40.831023178654704
