date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",104.97592468261719,0.1238379184494352,31.761933553366525
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",104.97592468261719,0.40009173652894453,8.315728336929892
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",104.97592468261719,0.6858715483353335,-2.4806016777238495
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",104.97592468261719,0.7049235357890927,-3.017681161486136
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",104.97592468261719,1.2383791844943521,-14.278768306514392
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",104.97592468261719,3.0578439863283617,-32.37890176000306
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",104.97592468261719,3.0864219675090006,-32.55944961324933
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",104.97592468261719,3.5246176789454635,-35.19543941016814
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",104.97592468261719,4.601054970082862,-40.53391237045419
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",104.97592468261719,4.991620712884926,-42.17161298382358
