date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",255.40050862630207,0.05090044679206725,49.54397155247928
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",255.40050862630207,0.16444759732821726,26.097766336042646
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",255.40050862630207,0.28191016684837245,15.301436321388907
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",255.40050862630207,0.28974100481638276,14.764356837626622
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",255.40050862630207,0.5090044679206724,3.5032696925983657
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",255.40050862630207,1.2568494938656605,-14.596863760890301
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",255.40050862630207,1.268595750817676,-14.777411614136572
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",255.40050862630207,1.448705024081914,-17.413401411055386
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",255.40050862630207,1.8911473692744984,-22.751874371341437
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",255.40050862630207,2.0516795476187104,-24.389574984710826
