date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",19.382396443684897,0.6707116964494663,-2.025382062774633
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",19.382396443684897,2.166914711605968,-25.471587279211263
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",19.382396443684897,3.7147109341816598,-36.267917293865004
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",19.382396443684897,3.817897349020039,-36.80499677762729
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",19.382396443684897,6.707116964494663,-48.06608392265554
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",19.382396443684897,16.5614195815599,-66.16621737614422
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",19.382396443684897,16.716199203817467,-66.34676522939048
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",19.382396443684897,19.089486745100196,-68.9827550263093
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",19.382396443684897,24.919519183468633,-74.32122798659535
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",19.382396443684897,27.03484068765541,-75.95892859996474
