date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",516.36358642578125,0.025176058772820798,63.62353569489299
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",516.36358642578125,0.0813380360352672,40.17733047845637
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",516.36358642578125,0.13943663320331517,29.38100046380263
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",516.36358642578125,0.1433098730145184,28.84392098004034
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",516.36358642578125,0.251760587728208,17.58283383501209
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",516.36358642578125,0.6216549896981135,-0.5172996184765779
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",516.36358642578125,0.6274648494149183,-0.6978474717228487
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",516.36358642578125,0.7165493650725919,-3.3338372686416644
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",516.36358642578125,0.9353874144055727,-8.672310228927717
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",516.36358642578125,1.0147888305352384,-10.310010842297107
