date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",127.47325846354167,0.10198217380406965,35.645444951962006
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",127.47325846354167,0.3294808692131481,12.199239735525376
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",127.47325846354167,0.5648243472225396,1.402909720871639
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",127.47325846354167,0.5805139124231657,0.8658302371093498
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",127.47325846354167,1.0198217380406966,-10.395256907918906
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",127.47325846354167,2.518175214700489,-28.49539036140757
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",127.47325846354167,2.5417095625014285,-28.675938214653847
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",127.47325846354167,2.9025695621158287,-31.311928011572657
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",127.47325846354167,3.7890299959512035,-36.65040097185871
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",127.47325846354167,4.110666082564038,-38.2881015852281
