date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",2.6543814023335774,4.897562945766255,-41.78845446772351
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",2.6543814023335774,15.822895670937134,-65.23465968416015
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",2.6543814023335774,27.1249640073208,-76.03098969881388
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",2.6543814023335774,27.878435229746376,-76.56806918257617
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",2.6543814023335774,48.975629457662556,-87.82915632760442
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",2.6543814023335774,120.93213119930523,-105.92928978109308
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",2.6543814023335774,122.0623380329436,-106.10983763433937
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",2.6543814023335774,139.3921761487319,-108.74582743125818
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",2.6543814023335774,181.96330021577702,-114.08430039154423
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",2.6543814023335774,197.40946027550137,-115.72200100491364
