date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",481.0868,0.027,62.2083
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",481.0868,0.0873,38.7621
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",481.0868,0.1497,27.9657
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",481.0868,0.1538,27.4287
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",481.0868,0.2702,16.1676
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",481.0868,0.6672,-1.9326
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",481.0868,0.6735,-2.1131
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",481.0868,0.7691,-4.7491
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",481.0868,1.004,-10.0876
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",481.0868,1.0892,-11.7253
