date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",339.4310302734375,0.038299385856170876,55.232728360220435
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",339.4310302734375,0.12373647738147513,31.786523143783818
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",339.4310302734375,0.21211967551110023,20.990193129130077
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",339.4310302734375,0.2180118887197419,20.45311364536779
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",339.4310302734375,0.38299385856170876,9.192026500339534
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",339.4310302734375,0.9457002199869885,-8.908106953149133
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",339.4310302734375,0.9545385397999511,-9.088654806395404
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",339.4310302734375,1.0900594435987094,-11.724644603314218
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",339.4310302734375,1.422969489886964,-17.063117563600272
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",339.4310302734375,1.5437598606641183,-18.700818176969662
