date,time,P_test,packid,packids,P_predicted,ratio,severe
2024-06-04,10.0082,1205.739,PACK-1003,"[PACK-1003, PACK-2003]",255.40050862630207,4.720973370355413,-41.04850001738894
2024-06-03,10.0055,1248.558,PACK-1002,"[PACK-1002, PACK-2002]",255.40050862630207,4.888627695831531,-41.74373258604377
2024-06-05,10.011,1288.425,PACK-1004,"[PACK-1004, PACK-2004]",255.40050862630207,5.044723704466865,-42.37785772190236
2024-06-09,10.0219,1327.725,PACK-1008,"[PACK-1008, PACK-2008]",255.40050862630207,5.198599670538267,-42.98968590387902
2024-06-02,10.0027,1337.546,PACK-1001,"[PACK-1001, PACK-2001]",255.40050862630207,5.2370530003801825,-43.11787871233231
2024-06-01,10,1351.832,PACK-1000,"[PACK-1000, PACK-2000]",255.40050862630207,5.292988675985681,-43.32766106882843
2024-06-08,10.0192,1372.664,PACK-1007,"[PACK-1007, PACK-2007]",255.40050862630207,5.3745546842604766,-43.65271442283221
2024-06-06,10.0137,1396.277,PACK-1005,"[PACK-1005, PACK-2005]",255.40050862630207,5.46700947272979,-43.98833505244266
2024-06-07,10.0164,1406.687,PACK-1006,"[PACK-1006, PACK-2006]",255.40050862630207,5.507768984353284,-44.13959276296556
2024-06-10,10.0247,1428.003,PACK-1009,"[PACK-1009, PACK-2009]",255.40050862630207,5.5912300554163386,-44.44868617304316
